model,quantile,lower,upper,oof_win_rate,oof_coverage,holdout_win_rate,holdout_coverage,holdout_num_trades
h1,0.99,0.3559550642967224,0.6440449357032776,0.6266666666666667,0.01,0.5870307167235495,0.006587378313361362,1172.0
h1,0.995,0.34153661131858826,0.6584633886814117,0.625832223701731,0.005006666666666667,0.603411513859275,0.0026360754513365856,469.0
h3,0.99,0.42696259915828705,0.573037400841713,0.5569620253164557,0.010006666666666667,0.5328238971865231,0.032363587310865805,5758.0
h3,0.995,0.4201408624649048,0.5798591375350952,0.5579227696404794,0.005006666666666667,0.5305399822956625,0.01904831493513793,3389.0
h6,0.99,0.45181750506162643,0.5481824949383736,0.526,0.01,0.5124517713083129,0.06409766406618854,11404.0
h6,0.995,0.445199191570282,0.554800808429718,0.5166444740346205,0.005006666666666667,0.5114693118412895,0.036264304503248725,6452.0
h12,0.99,0.44877130910754204,0.551228690892458,0.516,0.01,0.5140083217753121,0.04052474201308483,7210.0
h12,0.995,0.44019410014152527,0.5598058998584747,0.5086551264980027,0.005006666666666667,0.5066749456690469,0.01810404910182333,3221.0
weighted,0.99,0.4245019406080246,0.5754980593919754,0.5876082611592272,0.010006666666666667,0.5691747572815534,0.013894197261629083,2472.0
weighted,0.995,0.41753602027893066,0.5824639797210693,0.6191744340878829,0.005006666666666667,0.5696564885496184,0.005890420198295825,1048.0
